uverbo	u'verb'o
unuanimeco	unu'anim'ec'o
unuanimecon	unu'anim'ec'o'n
unubaza	unu'baz'a
unuĉambra	unu'ĉambr'a
unuĉela	unu'ĉel'a
unuĉelaj	unu'ĉel'a'j
unudekono	unu'dek'on'o
unudimensia	unu'dimensi'a
unudimensiaj	unu'dimensi'a'j
unudirekta	unu'direkt'a
unudirektaj	unu'direkt'a'j
unudirektajn	unu'direkt'a'j'n
unudirektan	unu'direkt'a'n
unudirekte	unu'direkt'e
unudufoje	unu'du'foj'e
unuenaskita	unu'e'nask'it'a
unuenaskito	unu'e'nask'it'o
unuenaskiton	unu'e'nask'it'o'n
unueca	unu'ec'a
unuecaj	unu'ec'a'j
unuecajn	unu'ec'a'j'n
unuecan	unu'ec'a'n
unuece	unu'ec'e
unueco	unu'ec'o
unuecoj	unu'ec'o'j
unuecojn	unu'ec'o'j'n
unuecon	unu'ec'o'n
unueciga	unu'ec'ig'a
unuecigan	unu'ec'ig'a'n
unuecigi	unu'ec'ig'i
unuecigis	unu'ec'ig'is
unuecigo	unu'ec'ig'o
unuetaĝa	unu'etaĝ'a
unuetaĝaj	unu'etaĝ'a'j
unufamiliaj	unu'famili'a'j
unufaza	unu'faz'a
unufazaj	unu'faz'a'j
unuflanka	unu'flank'a
unuflankaj	unu'flank'a'j
unuflankan	unu'flank'a'n
unuflanke	unu'flank'e
unuflankeco	unu'flank'ec'o
unufoja	unu'foj'a
unufojaj	unu'foj'a'j
unufojan	unu'foj'a'n
unufoje	unu'foj'e
unufojon	unu'foj'o'n
unuforma	unu'form'a
unuformaj	unu'form'a'j
unuformajn	unu'form'a'j'n
unuforman	unu'form'a'n
unuforme	unu'form'e
unuformeco	unu'form'ec'o
unuformecon	unu'form'ec'o'n
unuglute	unu'glut'e
unuhora	unu'hor'a
unuhoran	unu'hor'a'n
unuiga	unu'ig'a
unuigaj	unu'ig'a'j
unuigan	unu'ig'a'n
unuigas	unu'ig'as
unuigi	unu'ig'i
unuigis	unu'ig'is
unuigo	unu'ig'o
unuigon	unu'ig'o'n
unuigos	unu'ig'os
unuigu	unu'ig'u
unuigado	unu'ig'ad'o
unuiganta	unu'ig'ant'a
unuigante	unu'ig'ant'e
unuigita	unu'ig'it'a
unuigitaj	unu'ig'it'a'j
unuigitan	unu'ig'it'a'n
unuigite	unu'ig'it'e
unuiĝa	unu'iĝ'a
unuiĝas	unu'iĝ'as
unuiĝi	unu'iĝ'i
unuiĝis	unu'iĝ'is
unuigho	unu'iĝ'o
unuiĝo	unu'iĝ'o
unuiĝoj	unu'iĝ'o'j
unuiĝojn	unu'iĝ'o'j'n
unuiĝon	unu'iĝ'o'n
unuiĝos	unu'iĝ'os
unuiĝu	unu'iĝ'u
unuiĝanta	unu'iĝ'ant'a
unuiĝinta	unu'iĝ'int'a
unuiĝintaj	unu'iĝ'int'a'j
unuiĝintajn	unu'iĝ'int'a'j'n
unuiĝintan	unu'iĝ'int'a'n
unuiĝonta	unu'iĝ'ont'a
unuinfana	unu'infan'a
unujara	unu'jar'a
unujaraj	unu'jar'a'j
unujaran	unu'jar'a'n
unujarcenta	unu'jar'cent'a
unukamera	unu'kamer'a
unukolora	unu'kolor'a
unukoloraj	unu'kolor'a'j
unukontraŭunu	unu'kontraŭ'unu
unukornulo	unu'korn'ul'o
unukornuloj	unu'korn'ul'o'j
unukornulon	unu'korn'ul'o'n
unukotiledonaj	unu'kotiledon'a'j
unukvarono	unu'kvar'on'o
unukvaronon	unu'kvar'on'o'n
unukvinono	unu'kvin'on'o
unulingva	unu'lingv'a
unulingvaj	unu'lingv'a'j
unulingvan	unu'lingv'a'n
unulingveco	unu'lingv'ec'o
unulingvismo	unu'lingv'ism'o
unulinia	unu'lini'a
unuloke	unu'lok'e
unuludanta	unu'lud'ant'a
unuminuta	unu'minut'a
unumomente	unu'moment'e
unumonata	unu'monat'a
unumondo	unu'mond'o
unumondomilito	unu'mond'o'milit'o
unumotoraj	unu'motor'a'j
ununatria	unu'natri'a
ununava	unu'nav'a
ununoma	unu'nom'a
ununombra	unu'nombr'a
ununombraj	unu'nombr'a'j
ununombran	unu'nombr'a'n
ununombre	unu'nombr'e
ununombro	unu'nombr'o
ununombron	unu'nombr'o'n
ununura	unu'nur'a
ununuraj	unu'nur'a'j
ununurajn	unu'nur'a'j'n
ununuran	unu'nur'a'n
unuoĉelo	unu'o'ĉel'o
unuolongo	unu'o'long'o
unuomaso	unu'o'mas'o
unuotempo	unu'o'temp'o
unuovolumeno	unu'o'volumen'o
unuobla	unu'obl'a
unuoksido	unu'oksid'o
unuokula	unu'okul'a
unuokuleco	unu'okul'ec'o
unuopa	unu'op'a
unuopaj	unu'op'a'j
unuopajn	unu'op'a'j'n
unuopan	unu'op'a'n
unuope	unu'op'e
unuopo	unu'op'o
unuopoj	unu'op'o'j
unuopon	unu'op'o'n
unuopaĵa	unu'op'aĵ'a
unuopaĵo	unu'op'aĵ'o
unuopaĵoj	unu'op'aĵ'o'j
unuopaĵon	unu'op'aĵ'o'n
unuopula	unu'op'ul'a
unuopulo	unu'op'ul'o
unuopuloj	unu'op'ul'o'j
unuopulojn	unu'op'ul'o'j'n
unuopulon	unu'op'ul'o'n
unuovaj	unu'ov'a'j
unupartia	unu'parti'a
unupartiaj	unu'parti'a'j
unupartiajn	unu'parti'a'j'n
unupartian	unu'parti'a'n
unupartie	unu'parti'e
unupaŝo	unu'paŝ'o
unupeca	unu'pec'a
unupersona	unu'person'a
unupersonaj	unu'person'a'j
unupolusa	unu'polus'a
unupunkta	unu'punkt'a
unureĝima	unu'reĝim'a
unusama	unu'sam'a
unuseksa	unu'seks'a
unuseksaj	unu'seks'a'j
unusemajna	unu'semajn'a
unusemajnan	unu'semajn'a'n
unusenca	unu'senc'a
unusence	unu'senc'e
unusignifa	unu'signif'a
unusignifan	unu'signif'a'n
unusignife	unu'signif'e
unusilaba	unu'silab'a
unusilabaj	unu'silab'a'j
unusilaboj	unu'silab'o'j
unusimetriaj	unu'simetri'a'j
unusola	unu'sol'a
unusolaj	unu'sol'a'j
unusolan	unu'sol'a'n
unusole	unu'sol'e
unuspire	unu'spir'e
unutaga	unu'tag'a
unutagan	unu'tag'a'n
unutavolaĵo	unu'tavol'aĵ'o
unutona	unu'ton'a
unutriono	unu'tri'on'o
unutrionon	unu'tri'on'o'n
unuuza	unu'uz'a
unuuzaj	unu'uz'a'j
unuvira	unu'vir'a
unuvoĉa	unu'voĉ'a
