sabata	sabat'a
sabrofiŝo	sabr'o'fiŝ'o
sabrokarpo	sabr'o'karp'o
sabropinto	sabr'o'pint'o
sabrosegilo	sabr'o'seg'il'o
sacerdota	sacerdot'a
sacerdotaj	sacerdot'a'j
sacerdotajn	sacerdot'a'j'n
sacerdotan	sacerdot'a'n
sacerdoto	sacerdot'o
sacerdotoj	sacerdot'o'j
sacerdotojn	sacerdot'o'j'n
sacerdoton	sacerdot'o'n
sacerdotaro	sacerdot'ar'o
sacerdoteco	sacerdot'ec'o
sacerdotecon	sacerdot'ec'o'n
sacerdotejo	sacerdot'ej'o
sacerdotiĝi	sacerdot'iĝ'i
sacerdotiĝo	sacerdot'iĝ'o
sacerdotiĝoj	sacerdot'iĝ'o'j
sacerdotiĝos	sacerdot'iĝ'os
sacerdotino	sacerdot'in'o
sacerdotinoj	sacerdot'in'o'j
sacerdotista	sacerdot'ist'a
sacerdotistaj	sacerdot'ist'a'j
sadisto	sad'ist'o
sadistoj	sad'ist'o'j
sadistojn	sad'ist'o'j'n
sadukea	saduke'a
sadukeoj	saduke'o'j
sadukeojn	saduke'o'j'n
safira	safir'a
safire	safir'e
safiro	safir'o
safiroj	safir'o'j
safiron	safir'o'n
safrano	safran'o
safranoj	safran'o'j
safranon	safran'o'n
safranflava	safran'flav'a
saga	sag'a
sagaj	sag'a'j
sagan	sag'a'n
sagas	sag'as
sage	sag'e
sagis	sag'is
sago	sag'o
sagoj	sag'o'j
sagojn	sag'o'j'n
sagon	sag'o'n
sageca	sag'ec'a
sageto	sag'et'o
sagetoj	sag'et'o'j
sagetojn	sag'et'o'j'n
sageton	sag'et'o'n
sagobirdo	sag'o'bird'o
sagobirdoj	sag'o'bird'o'j
sagoformaj	sag'o'form'a'j
sagoĵetado	sag'o'ĵet'ad'o
sagokalmaro	sag'o'kalmar'o
sagoklavoj	sag'o'klav'o'j
sagoklavojn	sag'o'klav'o'j'n
sagopintoj	sag'o'pint'o'j
sagopintojn	sag'o'pint'o'j'n
sagopluvo	sag'o'pluv'o
sagoveneno	sag'o'venen'o
sagpafo	sag'paf'o
sagpafado	sag'paf'ad'o
sagpafadon	sag'paf'ad'o'n
sagpafiloj	sag'paf'il'o'j
sagpinto	sag'pint'o
sagpintoj	sag'pint'o'j
sagpintojn	sag'pint'o'j'n
sagpinton	sag'pint'o'n
sagplumoj	sag'plum'o'j
sagplumojn	sag'plum'o'j'n
sagpunktoj	sag'punkt'o'j
sagpunkton	sag'punkt'o'n
sagrapide	sag'rapid'e
sagsimila	sag'simil'a
saguja	sag'uj'a
sagujo	sag'uj'o
sagujon	sag'uj'o'n
sagao	saga'o
sagaoj	saga'o'j
sagaojn	saga'o'j'n
sagaon	saga'o'n
sagaetoj	saga'et'o'j
sagaca	sagac'a
sagacaj	sagac'a'j
sagacajn	sagac'a'j'n
sagacan	sagac'a'n
sagacas	sagac'as
sagace	sagac'e
sagacis	sagac'is
sagaco	sagac'o
sagacon	sagac'o'n
sagaceco	sagac'ec'o
sagacecon	sagac'ec'o'n
sagaculo	sagac'ul'o
sagitala	sagital'a
sagitalaj	sagital'a'j
sagitalebeno	sagital'eben'o
sagitario	sagitari'o
sagua	sagu'a
saguo	sagu'o
saguaro	sagu'ar'o
sagupalmoj	sagu'palm'o'j
sagha	saĝ'a
saĝa	saĝ'a
saĝaj	saĝ'a'j
saĝajn	saĝ'a'j'n
saĝan	saĝ'a'n
saĝas	saĝ'as
saghe	saĝ'e
saĝe	saĝ'e
sagho	saĝ'o
saĝo	saĝ'o
saĝon	saĝ'o'n
saĝeco	saĝ'ec'o
saĝecon	saĝ'ec'o'n
saĝejo	saĝ'ej'o
saghulo	saĝ'ul'o
saĝulo	saĝ'ul'o
saghuloj	saĝ'ul'o'j
saĝuloj	saĝ'ul'o'j
saĝulojn	saĝ'ul'o'j'n
saghulon	saĝ'ul'o'n
saĝulon	saĝ'ul'o'n
sahara	sahar'a
saharaj	sahar'a'j
saharajn	sahar'a'j'n
saharan	sahar'a'n
saharo	sahar'o
saharon	sahar'o'n
saharanoj	sahar'an'o'j
saharodezerto	sahar'o'dezert'o
sajanoj	sajan'o'j
saka	sak'a
sake	sak'e
saki	sak'i
sakis	sak'is
sako	sak'o
sakoj	sak'o'j
sakojn	sak'o'j'n
sakon	sak'o'n
sakeca	sak'ec'a
sakecaj	sak'ec'a'j
sakegoj	sak'eg'o'j
saketo	sak'et'o
saketoj	sak'et'o'j
saketojn	sak'et'o'j'n
saketon	sak'et'o'n
sakfajfilo	sak'fajf'il'o
sakfluto	sak'flut'o
sakforma	sak'form'a
saknestulo	sak'nest'ul'o
sakostrato	sak'o'strat'o
sakplenon	sak'plen'o'n
sakstrata	sak'strat'a
sakstrato	sak'strat'o
sakstratoj	sak'strat'o'j
sakstratojn	sak'strat'o'j'n
sakstraton	sak'strat'o'n
sakstrateto	sak'strat'et'o
sakŝalma	sak'ŝalm'a
sakŝalmo	sak'ŝalm'o
sakŝalmoj	sak'ŝalm'o'j
sakŝalmon	sak'ŝalm'o'n
sakŝalmisto	sak'ŝalm'ist'o
sakŝalmludanto	sak'ŝalm'lud'ant'o
sakŝalmludantoj	sak'ŝalm'lud'ant'o'j
sakŝalmludantreprezentanto	sak'ŝalm'lud'ant'reprezent'ant'o
sakŝtofo	sak'ŝtof'o
saktendo	sak'tend'o
saktolo	sak'tol'o
saktolon	sak'tol'o'n
sakvoja	sak'voj'a
sakvojo	sak'voj'o
sakvojon	sak'voj'o'n
sakamoto	sakamot'o
sakari	sakar'i
sakarigaj	sakar'ig'a'j
sakarigo	sakar'ig'o
sakaridoj	sakarid'o'j
sakarino	sakarin'o
sakarinon	sakarin'o'n
sakarozo	sakaroz'o
sakarozon	sakaroz'o'n
sakeo	sake'o
sakeon	sake'o'n
sakra	sakr'a
sakraj	sakr'a'j
sakrajn	sakr'a'j'n
sakran	sakr'a'n
sakras	sakr'as
sakre	sakr'e
sakri	sakr'i
sakris	sakr'is
sakro	sakr'o
sakroj	sakr'o'j
sakrojn	sakr'o'j'n
sakron	sakr'o'n
sakru	sakr'u
sakradis	sakr'ad'is
sakrado	sakr'ad'o
sakradon	sakr'ad'o'n
sakraĵo	sakr'aĵ'o
sakraĵoj	sakr'aĵ'o'j
sakraĵojn	sakr'aĵ'o'j'n
sakranta	sakr'ant'a
sakrantan	sakr'ant'a'n
sakrante	sakr'ant'e
sakrario	sakr'ari'o
sakrigo	sakr'ig'o
sakropopmuziko	sakr'o'pop'muzik'o
sakrosanktaj	sakr'o'sankt'a'j
sakrosankteco	sakr'o'sankt'ec'o
sakrovorto	sakr'o'vort'o
sakrala	sakral'a
sakralaj	sakral'a'j
sakralajn	sakral'a'j'n
sakralan	sakral'a'n
sakrale	sakral'e
sakramenta	sakrament'a
sakramentaj	sakrament'a'j
sakramentajn	sakrament'a'j'n
sakramentan	sakrament'a'n
sakramente	sakrament'e
sakramento	sakrament'o
sakramentoj	sakrament'o'j
sakramentojn	sakrament'o'j'n
sakramenton	sakrament'o'n
sakramentalo	sakramental'o
sakramentaloj	sakramental'o'j
sakramentario	sakramentari'o
sakramentarioj	sakramentari'o'j
sakrilega	sakrileg'a
sakrilegia	sakrilegi'a
sakrilegiaj	sakrilegi'a'j
sakrilegian	sakrilegi'a'n
sakrilegie	sakrilegi'e
sakrilegio	sakrilegi'o
sakrilegioj	sakrilegi'o'j
sakrilegion	sakrilegi'o'n
sakrilegiaĵoj	sakrilegi'aĵ'o'j
sakrilegiulo	sakrilegi'ul'o
sakristian	sakristi'a'n
sakristio	sakristi'o
sakristioj	sakristi'o'j
sakristion	sakristi'o'n
sakristiano	sakristi'an'o
sakristianoj	sakristi'an'o'j
sakristianon	sakristi'an'o'n
sakristianedzino	sakristi'an'edz'in'o
sakristiisto	sakristi'ist'o
saksa	saks'a
saksaj	saks'a'j
saksajn	saks'a'j'n
saksan	saks'a'n
sakso	saks'o
saksoj	saks'o'j
saksojn	saks'o'j'n
saksia	saks'i'a
saksiaj	saks'i'a'j
saksian	saks'i'a'n
saksio	saks'i'o
saksion	saks'i'o'n
saksioanhalto	saks'i'o'anhalt'o
saksioanhaltio	saks'i'o'anhalt'i'o
saksujo	saks'uj'o
saksujoanhalto	saks'uj'o'anhalt'o
saksujoanhaltano	saks'uj'o'anhalt'an'o
saksaula	saksaul'a
saksaulo	saksaul'o
saksifrago	saksifrag'o
saksifragacoj	saksifrag'ac'o'j
saksikolo	saksikol'o
saksofona	saksofon'a
saksofonaj	saksofon'a'j
saksofono	saksofon'o
saksofonoj	saksofon'o'j
saksofonojn	saksofon'o'j'n
saksofonon	saksofon'o'n
saksofonbuŝpeco	saksofon'buŝ'pec'o
saksofonisto	saksofon'ist'o
saksofonistoj	saksofon'ist'o'j
saksofoniston	saksofon'ist'o'n
saksofonludanto	saksofon'lud'ant'o
sakura	sakur'a
sakuraj	sakur'a'j
sakurajn	sakur'a'j'n
sakuro	sakur'o
sakuroj	sakur'o'j
sakurojn	sakur'o'j'n
sakurfloroj	sakur'flor'o'j
sakuroaprecado	sakur'o'aprec'ad'o
sakurofloroj	sakur'o'flor'o'j
sala	sal'a
salaj	sal'a'j
salajn	sal'a'j'n
salan	sal'a'n
salas	sal'as
sale	sal'e
sali	sal'i
salis	sal'is
salo	sal'o
saloj	sal'o'j
salojn	sal'o'j'n
salon	sal'o'n
salaakva	sal'a'akv'a
salaakvaj	sal'a'akv'a'j
salaakvan	sal'a'akv'a'n
saladolĉan	sal'a'dolĉ'a'n
salado	sal'ad'o
saladon	sal'ad'o'n
saladministracio	sal'administraci'o
salakva	sal'akv'a
salakvaj	sal'akv'a'j
salakvan	sal'akv'a'n
salakvo	sal'akv'o
salakvon	sal'akv'o'n
saleca	sal'ec'a
saleco	sal'ec'o
salecon	sal'ec'o'n
salejo	sal'ej'o
salejoj	sal'ej'o'j
saleta	sal'et'a
saletaj	sal'et'a'j
salglandon	sal'gland'o'n
salita	sal'it'a
salitaj	sal'it'a'j
salitan	sal'it'a'n
sallagurbo	sal'lag'urb'o
salmarĉoj	sal'marĉ'o'j
saloza	sal'oz'a
salozaj	sal'oz'a'j
salujo	sal'uj'o
saladino	saladin'o
saladinon	saladin'o'n
salajra	salajr'a
salajraj	salajr'a'j
salajran	salajr'a'n
salajras	salajr'as
salajre	salajr'e
salajri	salajr'i
salajris	salajr'is
salajro	salajr'o
salajroj	salajr'o'j
salajrojn	salajr'o'j'n
salajron	salajr'o'n
salajrado	salajr'ad'o
salajraĵo	salajr'aĵ'o
salajraltigo	salajr'alt'ig'o
salajraltigoj	salajr'alt'ig'o'j
salajraltigojn	salajr'alt'ig'o'j'n
salajraltigon	salajr'alt'ig'o'n
salajraltigmono	salajr'alt'ig'mon'o
salajraltigmonon	salajr'alt'ig'mon'o'n
salajraltigomono	salajr'alt'ig'o'mon'o
salajraltiĝon	salajr'alt'iĝ'o'n
salajrata	salajr'at'a
salajrataj	salajr'at'a'j
salajratajn	salajr'at'a'j'n
salajratan	salajr'at'a'n
salajrato	salajr'at'o
salajratoj	salajr'at'o'j
salajraton	salajr'at'o'n
salajreco	salajr'ec'o
salajrecon	salajr'ec'o'n
salajrecreto	salajr'ec'ret'o
salajrekonomio	salajr'ekonomi'o
salajreton	salajr'et'o'n
salajrigita	salajr'ig'it'a
salajrigitaj	salajr'ig'it'a'j
salajrigitajn	salajr'ig'it'a'j'n
salajrinformojn	salajr'inform'o'j'n
salajrinterkonsento	salajr'inter'konsent'o
salajrinterspaco	salajr'inter'spac'o
salajrita	salajr'it'a
salajritaj	salajr'it'a'j
salajritan	salajr'it'a'n
salajroaltigo	salajr'o'al'tig'o
salajroaltigoj	salajr'o'al'tig'o'j
salajroaltigon	salajr'o'al'tig'o'n
salajroĉekoj	salajr'o'ĉek'o'j
salajrodiferenco	salajr'o'diferenc'o
salajrodoktrino	salajr'o'doktrin'o
salajroetato	salajr'o'etat'o
salajroetaton	salajr'o'etat'o'n
salajroetatkontroloj	salajr'o'etat'kontrol'o'j
salajrofleksebleco	salajr'o'fleks'ebl'ec'o
salajrogrupo	salajr'o'grup'o
salajrogrupoj	salajr'o'grup'o'j
salajrohonorario	salajr'o'honorari'o
salajroimpostoj	salajr'o'impost'o'j
salajrokosto	salajr'o'kost'o
salajrokostoj	salajr'o'kost'o'j
salajrolaboro	salajr'o'labor'o
salajrolaboristo	salajr'o'labor'ist'o
salajrolaboristoj	salajr'o'labor'ist'o'j
salajrolaborlokoj	salajr'o'labor'lok'o'j
salajrolimo	salajr'o'lim'o
salajrolimoj	salajr'o'lim'o'j
salajrolimon	salajr'o'lim'o'n
salajrolistoj	salajr'o'list'o'j
salajromalegaleco	salajr'o'mal'egal'ec'o
salajromalegalecoj	salajr'o'mal'egal'ec'o'j
salajromalegalecon	salajr'o'mal'egal'ec'o'n
salajromuro	salajr'o'mur'o
salajromuroj	salajr'o'mur'o'j
salajromuron	salajr'o'mur'o'n
salajronivelo	salajr'o'nivel'o
salajroniveloj	salajr'o'nivel'o'j
salajropaga	salajr'o'pag'a
salajropago	salajr'o'pag'o
salajropagon	salajr'o'pag'o'n
salajroplialtigon	salajr'o'pli'al'tig'o'n
salajropliiĝoj	salajr'o'pli'iĝ'o'j
salajropostulojn	salajr'o'postul'o'j'n
salajroredukto	salajr'o'redukt'o
salajroreduktoj	salajr'o'redukt'o'j
salajroreduktojn	salajr'o'redukt'o'j'n
salajroredukton	salajr'o'redukt'o'n
salajrosistemo	salajr'o'sistem'o
salajrosistemon	salajr'o'sistem'o'n
salajrosklavo	salajr'o'sklav'o
salajrosklavoj	salajr'o'sklav'o'j
salajrosklaveco	salajr'o'sklav'ec'o
salajrosubvencio	salajr'o'subvenci'o
salajrotarifo	salajr'o'tarif'o
salajrotarifoj	salajr'o'tarif'o'j
salajrotarifojn	salajr'o'tarif'o'j'n
salajrovaro	salajr'o'var'o
salajrulo	salajr'ul'o
salajruloj	salajr'ul'o'j
salajrulojn	salajr'ul'o'j'n
salamo	salam'o
salamon	salam'o'n
salamandro	salamandr'o
salamandroj	salamandr'o'j
salamandrojn	salamandr'o'j'n
salato	salat'o
salatoj	salat'o'j
salaton	salat'o'n
saldo	sald'o
saldon	sald'o'n
salikaj	salik'a'j
saliko	salik'o
salikoj	salik'o'j
salikon	salik'o'n
salikata	salik'at'a
salikato	salik'at'o
salikoko	salikok'o
salikokoj	salikok'o'j
salikokojn	salikok'o'j'n
salikokon	salikok'o'n
salivo	saliv'o
salivon	saliv'o'n
salma	salm'a
salman	salm'a'n
salmo	salm'o
salmoj	salm'o'j
salmojn	salm'o'j'n
salmon	salm'o'n
salmoneo	salmone'o
salomona	salomon'a
salomono	salomon'o
salomonoj	salomon'o'j
salona	salon'a
salonaj	salon'a'j
salono	salon'o
salonoj	salon'o'j
salonojn	salon'o'j'n
salonon	salon'o'n
salonego	salon'eg'o
salonegon	salon'eg'o'n
saloneto	salon'et'o
salpetro	salpetr'o
salta	salt'a
saltas	salt'as
salte	salt'e
salti	salt'i
saltis	salt'is
salto	salt'o
saltoj	salt'o'j
saltojn	salt'o'j'n
salton	salt'o'n
saltos	salt'os
saltu	salt'u
saltus	salt'us
saltadas	salt'ad'as
saltadi	salt'ad'i
saltadis	salt'ad'is
saltado	salt'ad'o
saltadon	salt'ad'o'n
saltanta	salt'ant'a
saltantaj	salt'ant'a'j
saltantan	salt'ant'a'n
saltante	salt'ant'e
saltegis	salt'eg'is
saltego	salt'eg'o
saltegoj	salt'eg'o'j
saltegojn	salt'eg'o'j'n
saltetas	salt'et'as
salteti	salt'et'i
saltetis	salt'et'is
salteto	salt'et'o
saltetoj	salt'et'o'j
saltetado	salt'et'ad'o
saltetanta	salt'et'ant'a
saltetante	salt'et'ant'e
saltinte	salt'int'e
saltita	salt'it'a
saltitaj	salt'it'a'j
saltleviĝis	salt'lev'iĝ'is
saltotabulo	salt'o'tabul'o
saltulo	salt'ul'o
saltuloj	salt'ul'o'j
salubra	salubr'a
salubrigo	salubr'ig'o
saluta	salut'a
salutan	salut'a'n
salutas	salut'as
salute	salut'e
saluti	salut'i
salutis	salut'is
saluto	salut'o
salutoj	salut'o'j
salutojn	salut'o'j'n
saluton	salut'o'n
salutos	salut'os
salutu	salut'u
salutus	salut'us
salutado	salut'ad'o
salutantaj	salut'ant'a'j
salutante	salut'ant'e
salutata	salut'at'a
salutinda	salut'ind'a
salutinte	salut'int'e
salutita	salut'it'a
salutitaj	salut'it'a'j
salutkartoj	salut'kart'o'j
salutmesaĝo	salut'mesaĝ'o
salutmesaĝojn	salut'mesaĝ'o'j'n
salutmesaĝon	salut'mesaĝ'o'n
salutnomo	salut'nom'o
salutnomon	salut'nom'o'n
salutvorto	salut'vort'o
salutvortoj	salut'vort'o'j
salutvortojn	salut'vort'o'j'n
salvo	salv'o
salvon	salv'o'n
salvadoro	salvador'o
salvio	salvi'o
sama	sam'a
samaj	sam'a'j
samajn	sam'a'j'n
saman	sam'a'n
samas	sam'as
same	sam'e
sami	sam'i
samkiel	sam'kiel
samo	sam'o
samoj	sam'o'j
samon	sam'o'n
samtiel	sam'tiel
samtiom	sam'tiom
samus	sam'us
samaspeca	sam'a'spec'a
samaĝa	sam'aĝ'a
samaĝaj	sam'aĝ'a'j
samaĝas	sam'aĝ'as
samaĝulo	sam'aĝ'ul'o
samaghuloj	sam'aĝ'ul'o'j
samaĝuloj	sam'aĝ'ul'o'j
samaĝulojn	sam'aĝ'ul'o'j'n
samaksa	sam'aks'a
samaksaj	sam'aks'a'j
samalta	sam'alt'a
samaltas	sam'alt'as
samcelaj	sam'cel'a'j
samcele	sam'cel'e
samcelanoj	sam'cel'an'o'j
samcentra	sam'centr'a
samcentraj	sam'centr'a'j
samcentrajn	sam'centr'a'j'n
samcivitanoj	sam'civit'an'o'j
samĉambrano	sam'ĉambr'an'o
samĉambranoj	sam'ĉambr'an'o'j
samdirekte	sam'direkt'e
sameco	sam'ec'o
samecon	sam'ec'o'n
samepokaj	sam'epok'a'j
samepoke	sam'epok'e
samfakuloj	sam'fak'ul'o'j
samfamilianoj	sam'famili'an'o'j
samfoje	sam'foj'e
samforma	sam'form'a
samformaj	sam'form'a'j
samgenra	sam'genr'a
samgenraj	sam'genr'a'j
samgenranoj	sam'genr'an'o'j
samgentanoj	sam'gent'an'o'j
samgrade	sam'grad'e
samgranda	sam'grand'a
samgrandaj	sam'grand'a'j
samideana	sam'ide'an'a
samideane	sam'ide'an'e
samideano	sam'ide'an'o
samideanoj	sam'ide'an'o'j
samideanojn	sam'ide'an'o'j'n
samideanon	sam'ide'an'o'n
samideanaro	sam'ide'an'ar'o
samideanaroj	sam'ide'an'ar'o'j
samideanaron	sam'ide'an'ar'o'n
samideanino	sam'ide'an'in'o
samjare	sam'jar'e
samklasano	sam'klas'an'o
samklasanoj	sam'klas'an'o'j
samklasanojn	sam'klas'an'o'j'n
samkolora	sam'kolor'a
samkoloraj	sam'kolor'a'j
samkoloran	sam'kolor'a'n
samkredanoj	sam'kred'an'o'j
samlandano	sam'land'an'o
samlandanoj	sam'land'an'o'j
samlandanojn	sam'land'an'o'j'n
samlarĝaj	sam'larĝ'a'j
samlernejanoj	sam'lern'ej'an'o'j
samlimaj	sam'lim'a'j
samlingvanoj	sam'lingv'an'o'j
samlokaj	sam'lok'a'j
samloke	sam'lok'e
sammaniere	sam'manier'e
sammomente	sam'moment'e
samnacianoj	sam'naci'an'o'j
samnivela	sam'nivel'a
samnivelaj	sam'nivel'a'j
samnivele	sam'nivel'e
samnoma	sam'nom'a
samnomaj	sam'nom'a'j
samnoman	sam'nom'a'n
samnomulo	sam'nom'ul'o
samopinias	sam'opini'as
samopinii	sam'opini'i
samopiniis	sam'opini'is
sampartianoj	sam'parti'an'o'j
sampaŝe	sam'paŝ'e
sampatrujanoj	sam'patr'uj'an'o'j
samprofesiuloj	sam'profesi'ul'o'j
samrajtaj	sam'rajt'a'j
samrajte	sam'rajt'e
samrajteco	sam'rajt'ec'o
samrajtecon	sam'rajt'ec'o'n
samranga	sam'rang'a
samrangaj	sam'rang'a'j
samrange	sam'rang'e
samranguloj	sam'rang'ul'o'j
samrapide	sam'rapid'e
samrapidi	sam'rapid'i
samreligianoj	sam'religi'an'o'j
samreligiuloj	sam'religi'ul'o'j
samsangaj	sam'sang'a'j
samseksa	sam'seks'a
samseksaj	sam'seks'a'j
samseksajn	sam'seks'a'j'n
samseksan	sam'seks'a'n
samseksama	sam'seks'am'a
samseksamaj	sam'seks'am'a'j
samseksamo	sam'seks'am'o
samseksema	sam'seks'em'a
samseksemaj	sam'seks'em'a'j
